#name1,name2,distance,force_redirection
Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,174.55,0
Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,Ambatolampy,481.65,0
Ambatolampy,Merged_Antsirabe I_Antanifotsy,454.52,0
Merged_Antsirabe I_Antanifotsy,Camp_Vakinankaratra,179.97,0
Camp_Vakinankaratra,Merged_Betafo_Faratsiho,275.61,0
Merged_Betafo_Faratsiho,Merged_Miarinarivo_Soavinandriana,564.26,0
Merged_Miarinarivo_Soavinandriana,Fenoarivobe,663.93,0
Fenoarivobe,Ankazobe,567.13,0
Ankazobe,Anjozorobe,772.42,0
Anjozorobe,Moramanga,647.67,0
Moramanga,Anosibe-An'ala,491.68,0
Anosibe-An'ala,Merged_Vatomandry_Antanambao Manampontsy,571.14,0
Merged_Vatomandry_Antanambao Manampontsy,Mahanoro,491.81,0
Mahanoro,Merged_Nosy-Varika_Befotaka,638.42,0
Merged_Nosy-Varika_Befotaka,Camp_Vatovavy_Fitovinany,145.46,0
Camp_Vatovavy_Fitovinany,Marolambo,372.7,0
Marolambo,Fandriana,775.6,0
Fandriana,Camp_Amoron_I_Mania,314.86,0
Camp_Amoron_I_Mania,Merged_Ambatofinandrahana_Ambositra,216.28,0
Merged_Ambatofinandrahana_Ambositra,Merged_Ambohimahasoa_Lalangina_Isandra,743.57,0
Merged_Ambohimahasoa_Lalangina_Isandra,Camp_Haute_Matsiatra,180.89,0
Camp_Haute_Matsiatra,Merged_Fianarantsoa I_Ambalavao,456.49,0
Merged_Fianarantsoa I_Ambalavao,Merged_Manandriana_Ikongo,490.66,0
Merged_Manandriana_Ikongo,Ivohibe,647.75,0
Ivohibe,Vondrozo,550.12,0
Vondrozo,Merged_Vohibato_Farafangana,498.87,0
Merged_Vohibato_Farafangana,Vohipeno,482.69,0
Vohipeno,Mahabo,50.77,0
Mahabo,Ifanadiana,1034.23,0
Ifanadiana,Mananjary,712.53,0
Mananjary,Ikalamavony,1749.74,0
Ikalamavony,Camp_Ihorombe,1292.23,0
Camp_Ihorombe,Ihosy,74.04,0
Ihosy,Camp_Anosy,799.62,0
Camp_Anosy,Betroka,31.51,0
Betroka,Iakora,586.34,0
Iakora,Midongy-Atsimo,605.63,0
Midongy-Atsimo,Camp_Atsimo-Atsinanana,218.58,0
Camp_Atsimo-Atsinanana,Vangaindrano,756.2,0
Vangaindrano,Taolagnaro,1785.87,0
Taolagnaro,Merged_Ambovombe-Androy_Amboasary-Atsimo,764.13,0
Merged_Ambovombe-Androy_Amboasary-Atsimo,Camp_Androy,159.47,0
Camp_Androy,Tsihombe,623.13,0
Tsihombe,Beloha,447.14,0
Beloha,Ampanihy Ouest,906.13,0
Ampanihy Ouest,Betioky Atsimo,791.96,0
Betioky Atsimo,Benenitra,752.63,0
Benenitra,Sakaraha,766.69,0
Sakaraha,Camp_Atsimo-Andrefana,29.9,0
Camp_Atsimo-Andrefana,Ankazoabo,596.29,0
Ankazoabo,Manja,877.15,0
Manja,Beroroha,874.68,0
Beroroha,Morondava,1646.7,0
Morondava,Belo Sur Tsiribihina,661.24,0
Belo Sur Tsiribihina,Miandrivazo,927.61,0
Miandrivazo,Mandoto,830.8,0
Mandoto,Tsiroanomandidy,843.63,0
Tsiroanomandidy,Ambatomainty,1140.07,0
Ambatomainty,Kandreho,478.85,0
Kandreho,Mahajanga I,887.1,0
Mahajanga I,Merged_Ambato Boeni_Marovoay,589.41,0
Merged_Ambato Boeni_Marovoay,Mahajanga II,679.31,0
Mahajanga II,Mitsinjo,538.65,0
Mitsinjo,Soalala,545.3,0
Soalala,Besalampy,1057.52,0
Besalampy,Morafenobe,1155.23,0
Morafenobe,Antsalova,908.86,0
Antsalova,Maintirano,857.69,0
Maintirano,Morombe,3742.64,0
Morombe,Merged_Toliary-I_Toliary-II,1575.74,0
Merged_Toliary-I_Toliary-II,Bekily,1822.5,0
Bekily,Brickaville,6575.65,0
Brickaville,Toamasina II,748.95,0
Toamasina II,Merged_Fenerive Est_Vavatenina,738.62,0
Merged_Fenerive Est_Vavatenina,Soanierana Ivongo,578.04,0
Soanierana Ivongo,Mananara-Avaratra,772.88,0
Mananara-Avaratra,Maroantsetra,734.25,0
Maroantsetra,Antalaha,758.31,0
Antalaha,Sambava,658.33,0
Sambava,Antsirabe II,337.49,0
Antsirabe II,Vohemar,604.67,0
Vohemar,Ambilobe,966.6,0
Ambilobe,Merged_Maevatanana_Tsaratanana_Ambanja,782.64,0
Merged_Maevatanana_Tsaratanana_Ambanja,Bealanana,706.48,0
Bealanana,Befandriana Nord,742.85,0
Befandriana Nord,Mandritsara,653.85,0
Mandritsara,Camp_Sofia,34.38,0
Camp_Sofia,Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,1159.12,0
Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,Merged_Analalava_Antsohihy,1140.56,0
Merged_Analalava_Antsohihy,Andapa,1786.25,0
Andapa,Merged_Antsiranana II_Antsiranana I,2397.24,0
Merged_Antsiranana II_Antsiranana I,Andilamena,4773.61,0
Andilamena,Amparafaravola,670.96,0
Amparafaravola,Merged_Toamasina I_Ambatondrazaka,416.93,0
