Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,37,0,0.0,0,0,0.0,0,0,0.0,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,41,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,88,0,0.0,87,0,0.0,0,0,0.0,0,0,0.0,20,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,195,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,271,0,0.0,277,0,0.0,0,0,0.0,0,0,0.0,77,0,0.0,1,0,0.0,26,0,0.0,0,0,0.0,0.0,0,5586,0,652,0
3,2022-02-19,0,0,0.0,53,0,0.0,49,0,0.0,682,0,0.0,488,0,0.0,41,0,0.0,0,0,0.0,247,0,0.0,36,0,0.0,135,0,0.0,41,0,0.0,0.0,0,12691,0,1772,0
4,2022-02-20,4,0,0.0,189,0,0.0,138,0,0.0,1196,0,0.0,1115,0,0.0,114,0,0.0,0,0,0.0,578,0,0.0,107,0,0.0,406,0,0.0,101,0,0.0,0.0,0,19482,0,3948,0
5,2022-02-21,11,0,0.0,397,0,0.0,252,0,0.0,2063,0,0.0,1632,0,0.0,235,0,0.0,0,0,0.0,863,0,0.0,196,0,0.0,664,0,0.0,235,0,0.0,0.0,0,27403,0,6548,0
6,2022-02-22,34,0,0.0,675,0,0.0,389,0,0.0,3247,0,0.0,2344,0,0.0,382,0,0.0,0,0,0.0,1378,0,0.0,329,0,0.0,984,0,0.0,419,0,0.0,0.0,0,34082,0,10181,0
7,2022-02-23,96,0,0.0,1005,0,0.0,516,0,0.0,4628,0,0.0,3111,0,0.0,615,0,0.0,0,0,0.0,1765,0,0.0,484,0,0.0,1445,0,0.0,664,0,0.0,0.0,0,39535,0,14329,0
8,2022-02-24,202,0,0.0,1284,0,0.0,594,0,0.0,5789,0,0.0,3667,0,0.0,865,0,0.0,0,0,0.0,2102,0,0.0,587,0,0.0,1714,0,0.0,897,0,0.0,0.0,0,40535,0,17701,0
9,2022-02-25,349,0,0.0,1540,0,0.0,662,0,0.0,6486,0,0.0,3912,0,0.0,1049,0,0.0,0,0,0.0,2281,0,0.0,661,0,0.0,1957,0,0.0,1112,0,0.0,0.0,0,41430,0,20009,0
10,2022-02-26,527,0,0.0,1796,0,0.0,700,0,0.0,7050,0,0.0,4088,0,0.0,1125,0,0.0,0,0,0.0,2378,0,0.0,729,0,0.0,2090,0,0.0,1323,0,0.0,0.0,0,42234,0,21806,0
11,2022-02-27,675,0,0.0,2055,0,0.0,732,0,0.0,7490,0,0.0,4224,0,0.0,1209,0,0.0,0,0,0.0,2450,0,0.0,776,0,0.0,2232,0,0.0,1485,0,0.0,0.0,0,42959,0,23328,0
12,2022-02-28,819,0,0.0,2278,0,0.0,757,0,0.0,7923,0,0.0,4333,0,0.0,1277,0,0.0,1,0,0.0,2517,0,0.0,810,0,0.0,2348,0,0.0,1638,0,0.0,0.0,0,43615,0,24701,0
13,2022-03-01,975,0,0.0,2493,0,0.0,776,0,0.0,8261,0,0.0,4431,0,0.0,1321,0,0.0,1,0,0.0,2562,0,0.0,836,0,0.0,2445,0,0.0,1763,0,0.0,0.0,0,43648,0,25864,0
14,2022-03-02,1108,0,0.0,2651,0,0.0,790,0,0.0,8447,0,0.0,4523,0,0.0,1367,0,0.0,2,0,0.0,2605,0,0.0,865,0,0.0,2507,0,0.0,1890,0,0.0,0.0,0,43676,0,26755,0
15,2022-03-03,1241,0,0.0,2813,0,0.0,803,0,0.0,8589,0,0.0,4574,0,0.0,1386,0,0.0,3,0,0.0,2636,0,0.0,890,0,0.0,2558,0,0.0,1996,0,0.0,0.0,0,43703,0,27489,0
16,2022-03-04,1351,0,0.0,2969,0,0.0,814,0,0.0,8737,0,0.0,4614,0,0.0,1411,0,0.0,4,0,0.0,2665,0,0.0,905,0,0.0,2589,0,0.0,2117,0,0.0,0.0,0,43726,0,28176,0
17,2022-03-05,1432,0,0.0,3127,0,0.0,816,0,0.0,8863,0,0.0,4656,0,0.0,1437,0,0.0,5,0,0.0,2687,0,0.0,913,0,0.0,2618,0,0.0,2223,0,0.0,0.0,0,43726,0,28777,0
18,2022-03-06,1532,0,0.0,3253,0,0.0,822,0,0.0,8945,0,0.0,4690,0,0.0,1461,0,0.0,6,0,0.0,2710,0,0.0,924,0,0.0,2656,0,0.0,2308,0,0.0,0.0,0,43726,0,29307,0
19,2022-03-07,1614,0,0.0,3395,0,0.0,829,0,0.0,9000,0,0.0,4734,0,0.0,1478,0,0.0,8,0,0.0,2729,0,0.0,941,0,0.0,2676,0,0.0,2389,0,0.0,0.0,0,43726,0,29793,0
20,2022-03-08,1697,0,0.0,3532,0,0.0,833,0,0.0,9070,0,0.0,4766,0,0.0,1500,0,0.0,13,0,0.0,2747,0,0.0,956,0,0.0,2690,0,0.0,2476,0,0.0,0.0,0,43726,0,30280,0
21,2022-03-09,1762,0,0.0,3635,0,0.0,835,0,0.0,9121,0,0.0,4800,0,0.0,1513,0,0.0,15,0,0.0,2765,0,0.0,967,0,0.0,2705,0,0.0,2555,0,0.0,0.0,0,43726,0,30673,0
22,2022-03-10,1836,0,0.0,3725,0,0.0,836,0,0.0,9164,0,0.0,4837,0,0.0,1537,0,0.0,21,0,0.0,2784,0,0.0,978,0,0.0,2719,0,0.0,2613,0,0.0,0.0,0,43726,0,31050,0
23,2022-03-11,1900,0,0.0,3808,0,0.0,838,0,0.0,9210,0,0.0,4872,0,0.0,1549,0,0.0,25,0,0.0,2805,0,0.0,990,0,0.0,2725,0,0.0,2690,0,0.0,0.0,0,43726,0,31412,0
24,2022-03-12,1952,0,0.0,3912,0,0.0,838,0,0.0,9245,0,0.0,4896,0,0.0,1563,0,0.0,34,0,0.0,2817,0,0.0,999,0,0.0,2736,0,0.0,2753,0,0.0,0.0,0,43726,0,31745,0
25,2022-03-13,2011,0,0.0,4018,0,0.0,838,0,0.0,9276,0,0.0,4931,0,0.0,1577,0,0.0,40,0,0.0,2832,0,0.0,1005,0,0.0,2742,0,0.0,2810,0,0.0,0.0,0,43726,0,32080,0
26,2022-03-14,2072,0,0.0,4106,0,0.0,838,0,0.0,9304,0,0.0,4960,0,0.0,1591,0,0.0,43,0,0.0,2848,0,0.0,1011,0,0.0,2744,0,0.0,2858,0,0.0,0.0,0,43726,0,32375,0
27,2022-03-15,2124,0,0.0,4187,0,0.0,839,0,0.0,9333,0,0.0,4988,0,0.0,1600,0,0.0,50,0,0.0,2870,0,0.0,1017,0,0.0,2747,0,0.0,2921,0,0.0,0.0,0,43726,0,32676,0
28,2022-03-16,2169,0,0.0,4270,0,0.0,839,0,0.0,9361,0,0.0,5008,0,0.0,1610,0,0.0,52,0,0.0,2882,0,0.0,1021,0,0.0,2754,0,0.0,2974,0,0.0,0.0,0,43726,0,32940,0
29,2022-03-17,2217,0,0.0,4362,0,0.0,839,0,0.0,9382,0,0.0,5029,0,0.0,1618,0,0.0,56,0,0.0,2893,0,0.0,1028,0,0.0,2759,0,0.0,3026,0,0.0,0.0,0,43726,0,33209,0
30,2022-03-18,2272,0,0.0,4447,0,0.0,839,0,0.0,9399,0,0.0,5056,0,0.0,1627,0,0.0,63,0,0.0,2908,0,0.0,1038,0,0.0,2761,0,0.0,3082,0,0.0,0.0,0,43726,0,33492,0
31,2022-03-19,2315,0,0.0,4519,0,0.0,839,0,0.0,9415,0,0.0,5078,0,0.0,1636,0,0.0,68,0,0.0,2918,0,0.0,1045,0,0.0,2765,0,0.0,3138,0,0.0,0.0,0,43726,0,33736,0
32,2022-03-20,2356,0,0.0,4582,0,0.0,839,0,0.0,9428,0,0.0,5108,0,0.0,1642,0,0.0,71,0,0.0,2933,0,0.0,1055,0,0.0,2768,0,0.0,3179,0,0.0,0.0,0,43726,0,33961,0
33,2022-03-21,2395,0,0.0,4653,0,0.0,839,0,0.0,9442,0,0.0,5127,0,0.0,1648,0,0.0,77,0,0.0,2942,0,0.0,1060,0,0.0,2771,0,0.0,3236,0,0.0,0.0,0,43726,0,34190,0
34,2022-03-22,2437,0,0.0,4737,0,0.0,839,0,0.0,9454,0,0.0,5150,0,0.0,1656,0,0.0,82,0,0.0,2948,0,0.0,1068,0,0.0,2773,0,0.0,3277,0,0.0,0.0,0,43726,0,34421,0
35,2022-03-23,2476,0,0.0,4819,0,0.0,839,0,0.0,9468,0,0.0,5168,0,0.0,1665,0,0.0,84,0,0.0,2956,0,0.0,1072,0,0.0,2778,0,0.0,3313,0,0.0,0.0,0,43726,0,34638,0
36,2022-03-24,2513,0,0.0,4895,0,0.0,839,0,0.0,9488,0,0.0,5183,0,0.0,1670,0,0.0,91,0,0.0,2968,0,0.0,1074,0,0.0,2778,0,0.0,3349,0,0.0,0.0,0,43726,0,34848,0
37,2022-03-25,2551,0,0.0,4965,0,0.0,839,0,0.0,9502,0,0.0,5208,0,0.0,1676,0,0.0,100,0,0.0,2978,0,0.0,1077,0,0.0,2781,0,0.0,3378,0,0.0,0.0,0,43726,0,35055,0
38,2022-03-26,2586,0,0.0,5027,0,0.0,839,0,0.0,9511,0,0.0,5223,0,0.0,1686,0,0.0,101,0,0.0,2989,0,0.0,1080,0,0.0,2784,0,0.0,3418,0,0.0,0.0,0,43726,0,35244,0
39,2022-03-27,2618,0,0.0,5091,0,0.0,839,0,0.0,9518,0,0.0,5244,0,0.0,1692,0,0.0,108,0,0.0,2997,0,0.0,1084,0,0.0,2785,0,0.0,3460,0,0.0,0.0,0,43726,0,35436,0
40,2022-03-28,2656,0,0.0,5145,0,0.0,839,0,0.0,9522,0,0.0,5260,0,0.0,1694,0,0.0,114,0,0.0,3008,0,0.0,1088,0,0.0,2787,0,0.0,3499,0,0.0,0.0,0,43726,0,35612,0
